Epoch,Type,Total Fault Intensity,Landing Velocity
0,Optimization,0.0,0.4337105572227473
1,ML,0.0,2.5157284707941656
100,ML,0.0,0.46941135418221547
500,ML,0.0,0.4335516391151769
1200,ML,0.0,0.6371712915372297
2000,ML,0.0,0.49376943664605677
0,Optimization,0.0,0.4224299006529639
1,ML,0.0,1.0092162491774026
100,ML,0.0,0.6911198713398441
500,ML,0.0,1.030744688232324
1200,ML,0.0,0.5698425747610729
2000,ML,0.0,0.41371246400227263
0,Optimization,0.0,0.41485805116088775
1,ML,0.0,0.5977558342514613
100,ML,0.0,0.40103721156853517
500,ML,0.0,0.6769974675069272
1200,ML,0.0,0.7922817292813504
2000,ML,0.0,0.39831721151987903
0,Optimization,0.0,0.45576168307587805
1,ML,0.0,2.0019795637910796
100,ML,0.0,1.0701677366721207
500,ML,0.0,0.5122010601975485
1200,ML,0.0,0.8524349859268032
2000,ML,0.0,0.38568439231586343
0,Optimization,0.0,0.4324684399880111
1,ML,0.0,2.990936208232055
100,ML,0.0,1.4032870770174932
500,ML,0.0,0.506345664285108
1200,ML,0.0,0.4520355722993032
2000,ML,0.0,0.4980647875088291
0,Optimization,0.0,0.487308126331239
1,ML,0.0,3.6102332954830576
100,ML,0.0,0.6386704679524533
500,ML,0.0,0.7571506440833022
1200,ML,0.0,0.687211268380472
2000,ML,0.0,0.4669172807961626
0,Optimization,0.0,0.43331451249185
1,ML,0.0,1.0675065507919232
100,ML,0.0,0.7556023418632369
500,ML,0.0,0.7705098731374261
1200,ML,0.0,0.6392428017915943
2000,ML,0.0,0.3891566432878746
0,Optimization,0.0,0.4655530998435326
1,ML,0.0,1.421599004485123
100,ML,0.0,1.4445779435180197
500,ML,0.0,0.7481557212055264
1200,ML,0.0,0.4354716983096929
2000,ML,0.0,0.3411921420827188
0,Optimization,0.0,0.5452430329683505
1,ML,0.0,2.4502048501635736
100,ML,0.0,0.6559923282570373
500,ML,0.0,0.605240657558466
1200,ML,0.0,0.5645050054532517
2000,ML,0.0,0.39047428426064346
0,Optimization,0.02,0.5113057988143479
1,ML,0.02,3.4240798373793617
100,ML,0.02,2.3218265525775403
500,ML,0.02,1.4995418597156978
1200,ML,0.02,0.4579832205944706
2000,ML,0.02,0.44712375566167517
0,Optimization,0.02,0.3964158334709406
1,ML,0.02,8.811639379948936
100,ML,0.02,1.8107507320933713
500,ML,0.02,0.5985037772663443
1200,ML,0.02,0.5957726229667514
2000,ML,0.02,0.4908582095178501
0,Optimization,0.02,0.46324154982867066
1,ML,0.02,3.8624277000641793
100,ML,0.02,0.4958418276491133
500,ML,0.02,0.7372271672615807
1200,ML,0.02,0.4595010276904467
2000,ML,0.02,0.49439798125301776
0,Optimization,0.02,0.4562623319359418
1,ML,0.02,6.860767480245513
100,ML,0.02,0.856303490596099
500,ML,0.02,0.4390244135586463
1200,ML,0.02,0.42018913077480546
2000,ML,0.02,0.5041726014788885
0,Optimization,0.02,0.4845716164619048
1,ML,0.02,1.4263899625974523
100,ML,0.02,0.7816974149997746
500,ML,0.02,0.9901739373959023
1200,ML,0.02,0.6164871448474146
2000,ML,0.02,0.4604540519662291
0,Optimization,0.02,0.4548045411369248
1,ML,0.02,2.097288816158775
100,ML,0.02,3.9919824827479062
500,ML,0.02,0.5758729605599896
1200,ML,0.02,0.5120352871566192
2000,ML,0.02,0.49483422269686117
0,Optimization,0.02,0.4123088584375408
1,ML,0.02,2.116564732913152
100,ML,0.02,1.9727563588806505
500,ML,0.02,0.6685530179206378
1200,ML,0.02,0.8145500916462323
2000,ML,0.02,0.39493094792443745
0,Optimization,0.02,0.7103552128380426
1,ML,0.02,1.474234031532524
100,ML,0.02,0.8813159790774845
500,ML,0.02,0.4846691660355525
1200,ML,0.02,0.5259926158749931
2000,ML,0.02,0.5485006515681321
0,Optimization,0.02,0.4695876922754885
1,ML,0.02,3.124351657267864
100,ML,0.02,1.3530802551821477
500,ML,0.02,0.5438223432782059
1200,ML,0.02,0.48504457382332267
2000,ML,0.02,0.4061072849496501
0,Optimization,0.04,0.4577752325103379
1,ML,0.04,2.2283426503826202
100,ML,0.04,0.9464748699550749
500,ML,0.04,1.0345481171072208
1200,ML,0.04,1.7152137844745414
2000,ML,0.04,0.5029135407068501
0,Optimization,0.04,0.5894921668859514
1,ML,0.04,5.550817907069826
100,ML,0.04,0.7335675816714163
500,ML,0.04,0.5699369232199432
1200,ML,0.04,0.5505434628233712
2000,ML,0.04,0.507576859652829
0,Optimization,0.04,0.7756144357146989
1,ML,0.04,5.6895177765231875
100,ML,0.04,0.7077320092297504
500,ML,0.04,0.6252439433263611
1200,ML,0.04,0.4581944525131026
2000,ML,0.04,0.5754768735144107
0,Optimization,0.04,0.4181844464386685
1,ML,0.04,4.307948032894622
100,ML,0.04,1.85719614740166
500,ML,0.04,0.5110425915156462
1200,ML,0.04,0.6531740922513245
2000,ML,0.04,0.4047541550832254
0,Optimization,0.04,0.7176013119845561
1,ML,0.04,1.8846256485965442
100,ML,0.04,0.9372745614928997
500,ML,0.04,0.5710850141213013
1200,ML,0.04,0.5969524099902614
2000,ML,0.04,0.5030882063404206
0,Optimization,0.04,0.526479550691505
1,ML,0.04,8.712779263127667
100,ML,0.04,2.3029696680159333
500,ML,0.04,0.47313591757183476
1200,ML,0.04,0.5842275321777258
2000,ML,0.04,0.5559040799925599
0,Optimization,0.04,1.1028900958849532
1,ML,0.04,1.0972687452618692
100,ML,0.04,1.5199985834892278
500,ML,0.04,0.7413291408274945
1200,ML,0.04,0.5276910332578263
2000,ML,0.04,0.510552774543929
0,Optimization,0.04,0.5302137211021952
1,ML,0.04,5.416559462927338
100,ML,0.04,0.7771231621302268
500,ML,0.04,0.6185033964293957
1200,ML,0.04,0.4956413977313293
2000,ML,0.04,0.3563320225158048
0,Optimization,0.04,0.5696072532777705
1,ML,0.04,2.9308390727935576
100,ML,0.04,0.5815721492161405
500,ML,0.04,0.9447958677507264
1200,ML,0.04,0.48102507685571605
2000,ML,0.04,0.45826481755833
0,Optimization,0.06,0.5300088894011582
1,ML,0.06,1.4503740392960103
100,ML,0.06,1.8077578142840394
500,ML,0.06,0.7791131871148684
1200,ML,0.06,0.5582986888044305
2000,ML,0.06,0.4552235122953644
0,Optimization,0.06,0.42738165057724087
1,ML,0.06,4.495842579438303
100,ML,0.06,1.5748374273281986
500,ML,0.06,1.772377490534418
1200,ML,0.06,0.8353440112920574
2000,ML,0.06,0.41065964211260725
0,Optimization,0.06,0.6233445900322003
1,ML,0.06,11.083400036491417
100,ML,0.06,1.4537181192982325
500,ML,0.06,0.7200519605470681
1200,ML,0.06,0.4874897488149251
2000,ML,0.06,0.28663330376743007
0,Optimization,0.06,0.7159979302053923
1,ML,0.06,1.456844214481442
100,ML,0.06,1.1006569366565324
500,ML,0.06,0.74373357619703
1200,ML,0.06,0.772026649985828
2000,ML,0.06,0.38271382633968787
0,Optimization,0.06,0.5954798492047721
1,ML,0.06,1.223433349342891
100,ML,0.06,0.7321755236441386
500,ML,0.06,0.6858019836000888
1200,ML,0.06,0.7809005683926951
2000,ML,0.06,0.421102408978993
0,Optimization,0.06,0.4858470396607716
1,ML,0.06,4.534350042358384
100,ML,0.06,0.7237463333756611
500,ML,0.06,0.7833864567824724
1200,ML,0.06,0.8184248162719114
2000,ML,0.06,0.519720758595681
0,Optimization,0.06,0.4342660497490276
1,ML,0.06,0.9161299333975446
100,ML,0.06,0.9922957049203195
500,ML,0.06,0.8733463816954863
1200,ML,0.06,0.5849880005064098
2000,ML,0.06,0.48391527787611516
0,Optimization,0.06,0.7488396937133112
1,ML,0.06,0.9061314459385946
100,ML,0.06,0.8047064536802591
500,ML,0.06,1.5555197560326388
1200,ML,0.06,0.5823253839457327
2000,ML,0.06,0.47942431539002095
0,Optimization,0.06,0.5974277170033493
1,ML,0.06,0.9758976804687047
100,ML,0.06,1.2187155362659268
500,ML,0.06,0.690903616745365
1200,ML,0.06,0.4981618640978161
2000,ML,0.06,0.4708352964261388
0,Optimization,0.08,0.6052480476715996
1,ML,0.08,1.9467625052340636
100,ML,0.08,1.0045124522593702
500,ML,0.08,0.7248143297122178
1200,ML,0.08,0.8726287510878914
2000,ML,0.08,0.3460917069412494
0,Optimization,0.08,0.49760658204525854
1,ML,0.08,1.6472445217588283
100,ML,0.08,0.739949528840661
500,ML,0.08,0.994420271914545
1200,ML,0.08,0.6281183238034083
2000,ML,0.08,0.30201892931389374
0,Optimization,0.08,0.4628662661558435
1,ML,0.08,2.95977062959227
100,ML,0.08,0.7088384847317942
500,ML,0.08,0.4935417419105829
1200,ML,0.08,0.45562020495068617
2000,ML,0.08,0.40056186726370346
0,Optimization,0.08,0.4882910551537023
1,ML,0.08,1.045429300377316
100,ML,0.08,0.6092266082685974
500,ML,0.08,0.5280134111344305
1200,ML,0.08,0.46124285229494516
2000,ML,0.08,0.5164519097594802
0,Optimization,0.08,0.49443589723483017
1,ML,0.08,2.513567128549904
100,ML,0.08,0.7788514151030264
500,ML,0.08,1.2828843504457046
1200,ML,0.08,0.49557830486955173
2000,ML,0.08,0.4969387042541231
0,Optimization,0.08,0.7024251531334953
1,ML,0.08,4.6795226257109785
100,ML,0.08,0.6035367490109942
500,ML,0.08,1.191641281385457
1200,ML,0.08,0.6320430961907494
2000,ML,0.08,0.5125255274051542
0,Optimization,0.08,0.54776023090183
1,ML,0.08,11.05668127960693
100,ML,0.08,1.0683592433367526
500,ML,0.08,0.555071716062828
1200,ML,0.08,0.6593284560419816
2000,ML,0.08,0.4629197758589742
0,Optimization,0.08,0.4568486263131635
1,ML,0.08,9.437578345244651
100,ML,0.08,1.0500837100754568
500,ML,0.08,0.5919118949965502
1200,ML,0.08,0.6156683952245032
2000,ML,0.08,0.4856543205249094
0,Optimization,0.08,1.2151494046496207
1,ML,0.08,2.53077029499886
100,ML,0.08,0.8216274922320225
500,ML,0.08,1.1571295418931904
1200,ML,0.08,1.0638945591316924
2000,ML,0.08,0.49889514475744506
0,Optimization,0.1,0.770200726975411
1,ML,0.1,4.057605927444179
100,ML,0.1,1.8321876337541703
500,ML,0.1,0.6888744388156147
1200,ML,0.1,0.9625354145227525
2000,ML,0.1,0.44914161297724003
0,Optimization,0.1,0.5358264622120928
1,ML,0.1,5.720034866867518
100,ML,0.1,0.6697008388800804
500,ML,0.1,0.8364290494028283
1200,ML,0.1,0.5233217765354373
2000,ML,0.1,0.3830513121143232
0,Optimization,0.1,0.5943072330513959
1,ML,0.1,1.3494287963271068
100,ML,0.1,1.1182746640074526
500,ML,0.1,0.8018106634159554
1200,ML,0.1,0.4866561678049848
2000,ML,0.1,0.5450410320733658
0,Optimization,0.1,0.8989167804977072
1,ML,0.1,12.125348552473486
100,ML,0.1,1.3978561556781401
500,ML,0.1,0.6524864892440443
1200,ML,0.1,1.602098107425335
2000,ML,0.1,0.5638830312933288
0,Optimization,0.1,0.6201224011480884
1,ML,0.1,11.37183170922675
100,ML,0.1,0.873599613506039
500,ML,0.1,0.8805584073821457
1200,ML,0.1,0.8668062171757736
2000,ML,0.1,0.44824667888271075
0,Optimization,0.1,0.7224905103770836
1,ML,0.1,11.858320205654199
100,ML,0.1,0.7680268910614377
500,ML,0.1,0.7043958070376403
1200,ML,0.1,0.6243542839840232
2000,ML,0.1,0.39365919712341935
0,Optimization,0.1,0.5332358634445606
1,ML,0.1,7.778121645192747
100,ML,0.1,0.7182343034076974
500,ML,0.1,1.5422365933483615
1200,ML,0.1,0.803224204301562
2000,ML,0.1,0.41009101655279595
0,Optimization,0.1,0.652419996157679
1,ML,0.1,2.495996323846925
100,ML,0.1,0.7666052664906245
500,ML,0.1,0.7988830948686849
1200,ML,0.1,0.5031574125630076
2000,ML,0.1,0.6603430250406415
0,Optimization,0.1,0.7349654410487014
1,ML,0.1,3.8337766160761713
100,ML,0.1,2.0347064087064037
500,ML,0.1,1.3847075283621353
1200,ML,0.1,0.5591339885143839
2000,ML,0.1,0.4036800462860197
0,Optimization,0.12,0.6928251105411647
1,ML,0.12,4.408596989456131
100,ML,0.12,0.8340826189798919
500,ML,0.12,0.6866183936113401
1200,ML,0.12,0.5132937512028952
2000,ML,0.12,0.3922580565623818
0,Optimization,0.12,0.8674927955518791
1,ML,0.12,5.035593294528546
100,ML,0.12,0.7730929750933104
500,ML,0.12,0.6008019832023076
1200,ML,0.12,0.83315108488822
2000,ML,0.12,0.4875199701076917
0,Optimization,0.12,1.1565171601394966
1,ML,0.12,2.3765215107048094
100,ML,0.12,1.7999035259345515
500,ML,0.12,1.061574836596742
1200,ML,0.12,1.559826106470678
2000,ML,0.12,0.44039844657109156
0,Optimization,0.12,0.6297191740551595
